code,symbol
61703851117239241,اخزا1
19175365517498084,اخزا2
25327253813314826,اخزا3
71601274953984874,اخزا4
19233005675916232,اخزا5
32642977328805134,اخزا6
16925150043473874,اخزا7
20807724049262494,اخزا8
9004820944415926,اخزا9
48213088838466840,اخزا10
24799474896540445,اخزا11
18609068995507506,اخزا601
17093476882666751,اخزا602
17249155357009439,اخزا603
50901262974265397,اخزا604
5142626877687530,اخزا605
8245207996110059,اخزا606
45893661131576391,اخزا607
17081426540353962,اخزا608
57524237583720590,اخزا609
22390160904430441,اخزا610
17904282097680670,اخزا611
56918976818189623,اخزا612
52926262870725809,اخزا613
70718604552494663,اخزا614
17043857246932770,اخزا615
12102661826147720,اخزا620
38368631562194390,اخزا621
9925667573671884,اخزا622
40149463639215650,اخزا623
37198734218751769,اخزا624
1982233425566381,اخزا701
18364150881104689,اخزا702
29512568608949554,اخزا703
67293053847780742,اخزا704
56955187872206074,اخزا705
71772000724177515,اخزا706
42450147658559909,اخزا707
28541128073053383,اخزا708
23695001747840020,اخزا709
30416996452264502,اخزا710
10051281467803178,اخزا711
61970711726059526,اخزا712
55963441389800122,اخزا713
46428732946520536,اخزا714
9586715245691917,اخزا715
18067743398074470,اخزا716
69018118187907177,اخزا717
71901111301490182,اخزا718
35995426159395450,اخزا719
42576718434222894,اخزا720
46773487536596471,اخزا721
5126621656875241,اخزا722
42031056662310763,اخزا725
39258556256580392,اخزا801
7666290855904557,اخزا802
57513265745691613,اخزا803
27857905114371789,اخزا804
35541297751844500,اخزا805
57139694841580593,اخزا806
5203880991539408,اخزا807
45747858932368314,اخزا808
20909901812271390,اخزا809
65658464061006386,اخزا810
67744724115735698,اخزا811
5547896159175454,اخزا812
65676208671737936,اخزا813
61170189647376533,اخزا814
25435625417909263,اخزا815
25188497994257224,اخزا816
61024703979802025,اخزا817
68250192165442911,اخزا818
5181039426047414,اخزا819
12004613727363965,اخزا820
3019817952865782,اخزا821
34072858270659593,اخزا901
44973596387994711,اخزا902
68458335399886534,اخزا903
19106496156354497,اخزا904
17185906359043494,اخزا905
17166179154270422,اخزا906
48771123304040433,اخزا907
17489918101053443,اخزا908
14925348052932291,اخزا909
40004156358768554,اخزا910
65985619452718369,اخزا911
31529165012057847,اخزا914
3641651712782169,اخزا915
49421436115732443,اخزا916
55530995590147831,اخزا917
39644291165016483,اخزا918
45980043042930264,سخا1
63916756933268752,سخا2
55500157187630757,سخاب2
66392428513513921,سخاب3
44593433916111602,سخاب4
65220526955159748,سخاب5
31987476671489207,سخاب6
50900491532725578,سخاب7
